idx,u1__v1,u1__v2,u1__v3,u1^2__v1,u1^2__v2,u1^2__v3,u1^3__v1,u1^3__v2,u1^3__v3,v1__v1,v1__v2,v1__v3,v1^2__v1,v1^2__v2,v1^2__v3,v1^3__v1,v1^3__v2,v1^3__v3,u2__v1,u2__v2,u2__v3,u2^2__v1,u2^2__v2,u2^2__v3,u2^3__v1,u2^3__v2,u2^3__v3,v2__v1,v2__v2,v2__v3,v2^2__v1,v2^2__v2,v2^2__v3,v2^3__v1,v2^3__v2,v2^3__v3,u3__v1,u3__v2,u3__v3,u3^2__v1,u3^2__v2,u3^2__v3,u3^3__v1,u3^3__v2,u3^3__v3,v3__v1,v3__v2,v3__v3,v3^2__v1,v3^2__v2,v3^2__v3,v3^3__v1,v3^3__v2,v3^3__v3,A*c__v1,A*c__v2,A*c__v3
0,-3.00E-01,-6.02E-05,0.00E+00,0.00E+00,0.00E+00,-2.19E-06,0.00E+00,0.00E+00,0.00E+00,-1.09E-02,-2.55E-05,0.00E+00,0.00E+00,0.00E+00,1.57E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.74E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.74E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.43E-01,2.20E-03,0.00E+00
1,-3.00E-01,-5.44E-05,0.00E+00,0.00E+00,0.00E+00,-2.21E-06,0.00E+00,0.00E+00,0.00E+00,-1.10E-02,-2.55E-05,0.00E+00,0.00E+00,0.00E+00,1.57E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.77E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.77E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.48E-01,2.21E-03,0.00E+00
2,-3.00E-01,-4.84E-05,0.00E+00,0.00E+00,0.00E+00,-2.23E-06,-2.02E-06,0.00E+00,0.00E+00,-1.09E-02,-2.55E-05,0.00E+00,0.00E+00,0.00E+00,1.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.79E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.79E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.43E-01,2.20E-03,0.00E+00
3,-3.00E-01,-4.16E-05,0.00E+00,0.00E+00,0.00E+00,-2.25E-06,-2.27E-06,-3.86E-09,0.00E+00,-1.10E-02,-2.53E-05,0.00E+00,0.00E+00,0.00E+00,1.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.82E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.82E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.46E-01,2.18E-03,0.00E+00
4,-3.00E-01,-2.94E-05,0.00E+00,0.00E+00,0.00E+00,-2.29E-06,-2.44E-06,-4.23E-09,0.00E+00,-1.10E-02,-2.52E-05,0.00E+00,0.00E+00,0.00E+00,1.58E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.87E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.87E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.53E-01,2.18E-03,0.00E+00
5,-3.00E-01,-2.32E-05,0.00E+00,0.00E+00,0.00E+00,-2.32E-06,-2.56E-06,-4.25E-09,0.00E+00,-1.10E-02,-2.48E-05,0.00E+00,0.00E+00,0.00E+00,1.58E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.52E-01,2.15E-03,0.00E+00
6,-3.00E-01,-1.67E-05,0.00E+00,0.00E+00,0.00E+00,-2.34E-06,-2.87E-06,-5.09E-09,0.00E+00,-1.10E-02,-2.44E-05,0.00E+00,0.00E+00,0.00E+00,1.58E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.93E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.93E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.50E-01,2.11E-03,0.00E+00
7,-3.00E-01,-1.07E-05,0.00E+00,0.00E+00,0.00E+00,-2.36E-06,-2.71E-06,-5.10E-09,0.00E+00,-1.10E-02,-2.42E-05,0.00E+00,0.00E+00,0.00E+00,1.58E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.95E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.95E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.52E-01,2.08E-03,0.00E+00
8,-3.00E-01,-4.66E-06,0.00E+00,0.00E+00,0.00E+00,-2.38E-06,-2.66E-06,-5.27E-09,0.00E+00,-1.10E-02,-2.40E-05,0.00E+00,0.00E+00,0.00E+00,1.58E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.98E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.98E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.46E-01,2.06E-03,0.00E+00
9,-3.00E-01,-4.69E-06,0.00E+00,0.00E+00,0.00E+00,-2.39E-06,-2.67E-06,-5.23E-09,0.00E+00,-1.10E-02,-2.41E-05,0.00E+00,0.00E+00,0.00E+00,1.58E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.98E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.98E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.47E-01,2.07E-03,0.00E+00
