idx,u1__v1,u1__v2,u1__v3,u1^2__v1,u1^2__v2,u1^2__v3,u1^3__v1,u1^3__v2,u1^3__v3,v1__v1,v1__v2,v1__v3,v1^2__v1,v1^2__v2,v1^2__v3,v1^3__v1,v1^3__v2,v1^3__v3,u2__v1,u2__v2,u2__v3,u2^2__v1,u2^2__v2,u2^2__v3,u2^3__v1,u2^3__v2,u2^3__v3,v2__v1,v2__v2,v2__v3,v2^2__v1,v2^2__v2,v2^2__v3,v2^3__v1,v2^3__v2,v2^3__v3,u3__v1,u3__v2,u3__v3,u3^2__v1,u3^2__v2,u3^2__v3,u3^3__v1,u3^3__v2,u3^3__v3,v3__v1,v3__v2,v3__v3,v3^2__v1,v3^2__v2,v3^2__v3,v3^3__v1,v3^3__v2,v3^3__v3,A*c__v1,A*c__v2,A*c__v3
0,-3.0005248695215658e-01,-5.9954248283742323e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.1938804076751704e-06,3.5537105191726811e-07,-7.0959518398966409e-10,0.0000000000000000e+00,-1.1243202009834984e-02,-2.6315195026837200e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5750679568787436e-05,1.2370524045125506e-05,3.8883204571642059e-08,0.0000000000000000e+00,0.0000000000000000e+00,-2.7423595118467831e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7423595118467831e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8913701118478021e+00,4.3934544174985849e-03,0.0000000000000000e+00
1,-2.9987925727057274e-01,-5.2909328833359642e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2125075293085403e-06,-1.1385027476909471e-06,-4.6694086330899698e-09,0.0000000000000000e+00,-1.0916160621369247e-02,-2.5031180821578449e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5717885255483145e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7681698120861226e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7681698120861226e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8824965124780566e+00,4.3202032670080753e-03,0.0000000000000000e+00
2,-2.9999623364280592e-01,-4.6622016011607461e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2294655063262941e-06,-1.6032205748305923e-06,-5.8847880574269732e-09,0.0000000000000000e+00,-1.0985356465750591e-02,-2.4877143672037943e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5680472273797735e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7941010036614772e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7941010036614772e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8948348101114232e+00,4.2926268339083112e-03,0.0000000000000000e+00
3,-3.0008493546157666e-01,-4.0315046828830252e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2491111862197275e-06,-1.8866124769330574e-06,-6.4139400226982598e-09,0.0000000000000000e+00,-1.1053527256232780e-02,-2.4660367223433351e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5659427507450122e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8201530865728480e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8201530865728480e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9064585101607812e+00,4.2534967644595563e-03,0.0000000000000000e+00
4,-2.9994747698995927e-01,-2.7933545512901973e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2798805057524955e-06,-2.5243236477370047e-06,-7.2809592659281769e-09,0.0000000000000000e+00,-1.1044937647312401e-02,-2.4579965722260504e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5752161559993618e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8726199264036345e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8726199264036345e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9075328618767753e+00,4.2420655861456300e-03,0.0000000000000000e+00
5,-2.9991983704370084e-01,-2.1982769849054091e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3073117490099243e-06,-2.6155054467067878e-06,-6.3975814710442583e-09,0.0000000000000000e+00,-1.1050793162251391e-02,-2.4368412758618505e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5763135526595746e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8990346833230535e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8990346833230535e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9079663920833174e+00,4.1996049948931904e-03,0.0000000000000000e+00
6,-2.9987601942497311e-01,-1.6299274266981336e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3386440414946125e-06,-2.6733847109032767e-06,-5.1989438407596872e-09,0.0000000000000000e+00,-1.1029056859412854e-02,-2.3872023818617110e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5788592083276002e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9255703315784853e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9255703315784853e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9042111574574250e+00,4.1130454277357306e-03,0.0000000000000000e+00
7,-2.9983875456534603e-01,-1.0752295787134604e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3621116744647653e-06,-2.6991065213283586e-06,-4.6611194840479530e-09,0.0000000000000000e+00,-1.0924046630900575e-02,-2.4400909580339647e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5785206513846746e-05,-2.6985127630407654e-07,4.6526741568317011e-09,0.0000000000000000e+00,0.0000000000000000e+00,-2.9522268711699340e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9522268711699340e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8967293163087144e+00,4.0286246964306325e-03,0.0000000000000000e+00
7,-2.9983811130311666e-01,-1.0765366412144425e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3621116744647653e-06,-2.7144185702297636e-06,-4.3939669257614654e-09,0.0000000000000000e+00,-1.1010944651638177e-02,-2.2902149622085103e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5785206513846746e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9522268711699340e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9522268711699340e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9014174932453947e+00,3.9475789683893819e-03,0.0000000000000000e+00
8,-2.9979949508121823e-01,-4.9966817845747897e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3815811377471680e-06,-2.7472009388042416e-06,-4.6089705864657633e-09,0.0000000000000000e+00,-1.1008603843895190e-02,-2.2173223132482532e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5765798396121048e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9790043020973983e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9790043020973983e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9012352960811580e+00,3.8182466477550345e-03,0.0000000000000000e+00
