idx,u1__v1,u1__v2,u1__v3,u1^2__v1,u1^2__v2,u1^2__v3,u1^3__v1,u1^3__v2,u1^3__v3,v1__v1,v1__v2,v1__v3,v1^2__v1,v1^2__v2,v1^2__v3,v1^3__v1,v1^3__v2,v1^3__v3,u2__v1,u2__v2,u2__v3,u2^2__v1,u2^2__v2,u2^2__v3,u2^3__v1,u2^3__v2,u2^3__v3,v2__v1,v2__v2,v2__v3,v2^2__v1,v2^2__v2,v2^2__v3,v2^3__v1,v2^3__v2,v2^3__v3,u3__v1,u3__v2,u3__v3,u3^2__v1,u3^2__v2,u3^2__v3,u3^3__v1,u3^3__v2,u3^3__v3,v3__v1,v3__v2,v3__v3,v3^2__v1,v3^2__v2,v3^2__v3,v3^3__v1,v3^3__v2,v3^3__v3,A*c__v1,A*c__v2,A*c__v3
0,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.40E-07,8.93E-07,9.89E-12,0.00E+00,0.00E+00,-1.84E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.07E-01,0.00E+00,0.00E+00
1,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.40E-07,8.93E-07,7.96E-12,0.00E+00,0.00E+00,-1.77E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.45E-05,-2.15E-10,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.71E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.05E-01,0.00E+00,0.00E+00
2,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.40E-07,8.93E-07,9.38E-12,0.00E+00,0.00E+00,-1.80E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.05E-01,0.00E+00,0.00E+00
3,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.37E-07,8.93E-07,9.81E-12,0.00E+00,0.00E+00,-1.86E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.08E-01,0.00E+00,0.00E+00
4,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.36E-07,8.94E-07,1.00E-11,0.00E+00,0.00E+00,-1.84E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.07E-01,0.00E+00,0.00E+00
5,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.35E-07,8.95E-07,1.01E-11,0.00E+00,0.00E+00,-1.85E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.07E-01,0.00E+00,0.00E+00
6,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.35E-07,8.95E-07,1.00E-11,0.00E+00,0.00E+00,-1.85E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.07E-01,0.00E+00,0.00E+00
7,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.37E-07,8.95E-07,1.00E-11,0.00E+00,0.00E+00,-1.84E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.07E-01,0.00E+00,0.00E+00
8,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.36E-07,8.93E-07,9.87E-12,0.00E+00,0.00E+00,-1.84E-04,0.00E+00,0.00E+00,0.00E+00,-3.87E-05,-2.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.07E-01,0.00E+00,0.00E+00
9,-3.38E-02,0.00E+00,0.00E+00,0.00E+00,1.36E-07,8.93E-07,9.78E-12,0.00E+00,0.00E+00,-1.84E-04,0.00E+00,0.00E+00,0.00E+00,-3.86E-05,-2.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.07E-01,0.00E+00,0.00E+00
